USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,LISTINGS_CNT,LISTINGS_CONV_7D,LISTINGS_CONV_14D
706071724,CONTROL,Parts & Accessories,5) 100-200,Shelby/Magi Native,2,0,0
1902930968,TREATMENT,Media,5) 100-200,Shelby/Magi Native,5,0,0
2245494554,CONTROL,Media,2) 10-20,Others,6,1,1
2617686645,TREATMENT,Fashion,4) 50-100,Auto Relist,3,0,0
2690235553,CONTROL,Collectibles,1) 0-10,Auto Relist,39,4,4
1472528863,CONTROL,Collectibles,4) 50-100,Auto Relist,6,0,0
1477274401,TREATMENT,Fashion,3) 20-50,Auto Relist,1,1,1
946044771,CONTROL,Home & Garden,1) 0-10,Auto Relist,2,0,0
2260483575,TREATMENT,Collectibles,6) 200-500,Auto Relist,1,0,0
1563717131,CONTROL,Fashion,5) 100-200,Shelby/Magi Native,2,0,0
126988611,TREATMENT,Home & Garden,1) 0-10,Shelby/Magi Native,8,1,1
99022194,TREATMENT,Parts & Accessories,2) 10-20,Auto Relist,1,0,0
2711054084,TREATMENT,Fashion,2) 10-20,Auto Relist,1,0,0
1443855882,CONTROL,Home & Garden,1) 0-10,Auto Relist,5,0,0
2684546660,CONTROL,Parts & Accessories,1) 0-10,Others,7,0,0
2489090244,CONTROL,Collectibles,6) 200-500,Others,4,2,2
1761070200,CONTROL,Parts & Accessories,2) 10-20,Shelby/Magi Native,3,1,1
2238124485,CONTROL,Electronics,3) 20-50,Helix,1,0,0
1088687074,TREATMENT,Collectibles,2) 10-20,Helix,6,3,4
2638628429,TREATMENT,Fashion,3) 20-50,Auto Relist,3,0,0
71441620,CONTROL,Fashion,1) 0-10,Auto Relist,8,0,0
69458991,CONTROL,Electronics,2) 10-20,Auto Relist,1,0,0
96474926,TREATMENT,Lifestyle,1) 0-10,Shelby/Magi Native,3,0,0
2223824234,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,3,2,2
1387474572,CONTROL,Fashion,3) 20-50,Auto Relist,4,0,0
688602625,CONTROL,Electronics,2) 10-20,Shelby/Magi Native,4,1,1
1478210553,TREATMENT,Collectibles,1) 0-10,Helix,5,2,2
1096202985,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,5,1,1
1519620136,TREATMENT,Fashion,2) 10-20,BLING/Magical Bling,12,0,0
2742519686,CONTROL,Collectibles,1) 0-10,Others,9,0,0
1561128551,CONTROL,Lifestyle,4) 50-100,BLING/Magical Bling,1,0,0
1748289049,CONTROL,Collectibles,2) 10-20,Shelby/Magi Native,28,0,0
72289252,TREATMENT,Collectibles,2) 10-20,Auto Relist,65,0,0
1073390089,TREATMENT,Fashion,3) 20-50,Others,1,0,0
123159336,CONTROL,Lifestyle,3) 20-50,Auto Relist,4,0,0
601585918,TREATMENT,Collectibles,1) 0-10,Auto Relist,5,0,0
664239170,CONTROL,Parts & Accessories,3) 20-50,BLING/Magical Bling,2,0,0
1189925960,CONTROL,Fashion,1) 0-10,BLING/Magical Bling,13,0,0
2567955994,CONTROL,Home & Garden,2) 10-20,Shelby/Magi Native,12,0,0
2630659645,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,9,2,2
1895325322,TREATMENT,Collectibles,1) 0-10,Native B2C BOLT,11,0,0
163978506,CONTROL,Media,3) 20-50,Shelby/Magi Native,2,0,0
925908398,TREATMENT,Media,2) 10-20,Helix,25,0,1
382825044,CONTROL,Collectibles,2) 10-20,Auto Relist,4,0,0
1082294558,TREATMENT,Collectibles,2) 10-20,Helix,1,0,0
2735852867,TREATMENT,Media,4) 50-100,Helix,6,0,3
75395228,CONTROL,Collectibles,2) 10-20,Shelby/Magi Native,6,3,3
774408651,TREATMENT,Fashion,2) 10-20,Shelby/Magi Native,4,1,1
2382094578,CONTROL,Media,1) 0-10,Auto Relist,40,0,0
49134279,CONTROL,Collectibles,1) 0-10,Auto Relist,43,2,2
2763267708,TREATMENT,Media,2) 10-20,Auto Relist,7,0,0
2598648986,CONTROL,Collectibles,1) 0-10,Shelby/Magi Native,11,1,4
2446462814,CONTROL,Fashion,2) 10-20,BLING/Magical Bling,8,0,1
2535810360,CONTROL,Media,3) 20-50,Shelby/Magi Native,1,0,0
901602731,TREATMENT,Fashion,1) 0-10,Helix,1,1,1
306374512,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,1,1,1
2729468213,TREATMENT,Home & Garden,1) 0-10,Auto Relist,1,0,0
98170693,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,8,2,4
30852287,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,8,5,6
2570583188,CONTROL,Fashion,4) 50-100,Others,3,0,0
305438447,TREATMENT,Electronics,1) 0-10,Auto Relist,1,1,1
976730512,TREATMENT,Collectibles,4) 50-100,Auto Relist,1,0,0
1383634116,TREATMENT,Collectibles,2) 10-20,BLING/Magical Bling,17,0,0
747978196,CONTROL,Lifestyle,3) 20-50,Auto Relist,8,1,1
182377870,TREATMENT,Media,3) 20-50,Helix,30,23,26
1685790984,CONTROL,Fashion,4) 50-100,Auto Relist,4,0,0
355114504,TREATMENT,Fashion,1) 0-10,Auto Relist,17,0,0
2116456842,CONTROL,Collectibles,5) 100-200,Shelby/Magi Native,2,0,0
2543458314,CONTROL,Collectibles,4) 50-100,Shelby/Magi Native,11,2,4
