USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,GMV_TOTAL,QTY_TOTAL
1590606940,CONTROL,Electronics,06: 50-100,Helix,54.554896,1
63248595,CONTROL,Fashion,04: 30-40,Magi Native,120.201363,3
2780467643,TREATMENT,Home & Garden,03: 20-30,Shelby,46.846052,2
171075679,CONTROL,Home & Garden,01: 0-10,Helix,9.226129,1
1558381922,CONTROL,Collectibles,04: 30-40,Native B2C BOLT,33.557730,1
2431308098,CONTROL,Collectibles,06: 50-100,Magi Native,459.579177,8
1165173963,TREATMENT,Collectibles,06: 50-100,Helix,1001.907134,18
1619662924,TREATMENT,Electronics,01: 0-10,Magi Native,6.563299,1
30317430,TREATMENT,Home & Garden,07: 100-500,Helix,195.416500,1
2806687156,CONTROL,Collectibles,02: 10-20,Magi Native,494.620224,35
753525457,TREATMENT,Home & Garden,03: 20-30,Magi Native,25.727593,1
2519654099,CONTROL,Collectibles,02: 10-20,C2C BOLT,13.369184,1
300027431,TREATMENT,Media,01: 0-10,Helix,45.546550,5
1777984319,TREATMENT,Lifestyle,05: 40-50,Shelby,41.832608,1
1121631997,TREATMENT,Home & Garden,03: 20-30,BLING,21.994464,1
351836235,CONTROL,Collectibles,03: 20-30,Helix,54.905298,2
2572874626,TREATMENT,Fashion,06: 50-100,Magi Native,74.986028,1
531084151,TREATMENT,Fashion,02: 10-20,Shelby,652.980374,43
2757493919,CONTROL,Home & Garden,07: 100-500,Others,113.072030,1
94834682,TREATMENT,Collectibles,04: 30-40,Others,31.495749,1
1681413096,TREATMENT,Collectibles,02: 10-20,Native B2C BOLT,235.753161,18
1355931767,TREATMENT,Collectibles,02: 10-20,Shelby,19.110386,1
2831322842,TREATMENT,Fashion,02: 10-20,Helix,37.735600,2
2513330567,CONTROL,Fashion,03: 20-30,Shelby,26.940523,1
2710926526,CONTROL,Collectibles,01: 0-10,Magi Native,62.831666,8
552851520,CONTROL,Collectibles,04: 30-40,Auto Relist,75.309476,2
136445365,TREATMENT,Business & Industrial,06: 50-100,C2C BOLT,54.110155,1
2746469276,TREATMENT,Fashion,01: 0-10,Shelby,6.981086,1
87608357,TREATMENT,Home & Garden,07: 100-500,C2C BOLT,233.125146,1
97971313,CONTROL,Collectibles,05: 40-50,Magi Native,40.565770,1
798288849,TREATMENT,Fashion,06: 50-100,Shelby,845.829997,11
2468369683,CONTROL,Collectibles,01: 0-10,Auto Relist,24.191215,4
2204224997,TREATMENT,Fashion,01: 0-10,Native B2C BOLT,25.606300,5
1000907434,CONTROL,Collectibles,02: 10-20,Magi Native,115.861283,7
573258837,TREATMENT,Electronics,06: 50-100,Shelby,163.516441,3
2025947974,CONTROL,Fashion,01: 0-10,Magi Native,50.174871,6
2432822578,TREATMENT,Lifestyle,07: 100-500,Auto Relist,116.117832,1
1826318560,CONTROL,Fashion,03: 20-30,Helix,28.962073,1
1353720749,TREATMENT,Media,04: 30-40,Auto Relist,70.498187,2
185424458,CONTROL,Fashion,02: 10-20,Magi Native,14.770792,1
2731016364,TREATMENT,Media,01: 0-10,Magi Native,7.695367,1
1448146010,CONTROL,Home & Garden,03: 20-30,Magi Native,43.705911,2
1477585606,CONTROL,Collectibles,02: 10-20,Helix,12.884012,1
2440148501,TREATMENT,Electronics,09: >1000,Others,1281.864855,1
2139768717,CONTROL,Fashion,06: 50-100,Auto Relist,78.045307,1
73314232,CONTROL,Parts & Accessories,02: 10-20,Magi Native,12.681857,1
51659059,TREATMENT,Collectibles,04: 30-40,Helix,33.530776,1
948798480,CONTROL,Lifestyle,06: 50-100,Shelby,58.077826,1
1115782473,TREATMENT,Electronics,07: 100-500,Magi Native,103.301205,1
2564014710,CONTROL,Collectibles,06: 50-100,Magi Native,176.400453,2
2400257559,CONTROL,Lifestyle,05: 40-50,Others,46.967345,1
1105230196,TREATMENT,Lifestyle,07: 100-500,Shelby,219.338175,1
2746164544,TREATMENT,Home & Garden,06: 50-100,Helix,518.150219,8
28794999,CONTROL,Fashion,02: 10-20,C2C BOLT,17.439238,1
110208426,TREATMENT,Media,01: 0-10,Helix,314.364502,44
2748746735,CONTROL,Collectibles,08: 500-1000,Magi Native,546.573212,1
636538516,CONTROL,Fashion,01: 0-10,Auto Relist,9.029590,1
1660109709,CONTROL,Electronics,06: 50-100,Magi Native,92.061387,1
2789755068,TREATMENT,Media,01: 0-10,Magi Native,9.838210,1
1588049953,TREATMENT,Electronics,02: 10-20,Shelby,14.069988,1
999159326,TREATMENT,Fashion,02: 10-20,Magi Native,18.517398,1
1756067650,CONTROL,Electronics,02: 10-20,Auto Relist,17.102313,1
1563657513,CONTROL,Collectibles,03: 20-30,Magi Native,21.401476,1
87787572,CONTROL,Media,02: 10-20,Helix,10.700738,1
72112111,TREATMENT,Collectibles,02: 10-20,Helix,118.941117,8
99357460,CONTROL,Home & Garden,06: 50-100,Shelby,109.001976,2
2525091247,CONTROL,Collectibles,03: 20-30,Shelby,21.387999,1
550672349,CONTROL,Lifestyle,04: 30-40,Magi Native,100.390173,3
2453527776,TREATMENT,Collectibles,07: 100-500,Shelby,2307.652206,9
2521909043,TREATMENT,Collectibles,08: 500-1000,Helix,606.465000,1
183263403,TREATMENT,Collectibles,02: 10-20,Shelby,44.258468,3
1881925210,TREATMENT,Parts & Accessories,03: 20-30,Magi Native,41.360913,2
119569542,CONTROL,Fashion,03: 20-30,Magi Native,75.646401,3
1331298038,CONTROL,Home & Garden,02: 10-20,Helix,11.873237,1
2831327645,TREATMENT,Home & Garden,03: 20-30,Helix,418.029586,17
2754502364,CONTROL,Collectibles,03: 20-30,Magi Native,113.761282,5
737894349,CONTROL,Fashion,06: 50-100,Shelby,179.173332,2
2597270738,TREATMENT,Electronics,07: 100-500,C2C BOLT,109.783642,1
209994116,CONTROL,Electronics,08: 500-1000,Helix,638.418967,1
5771515,CONTROL,Home & Garden,06: 50-100,Helix,60.646500,1
2432514266,CONTROL,Electronics,08: 500-1000,Shelby,875.870230,1
2599177802,TREATMENT,Parts & Accessories,07: 100-500,C2C BOLT,135.484281,1
2253480413,TREATMENT,Collectibles,06: 50-100,Magi Native,57.546790,1
2242209864,TREATMENT,Collectibles,06: 50-100,Magi Native,75.096044,1
2650111716,CONTROL,Electronics,06: 50-100,Shelby,60.646500,1
2249695659,TREATMENT,Fashion,02: 10-20,Magi Native,56.536015,5
748956292,CONTROL,Collectibles,06: 50-100,Shelby,308.677208,4
2160471067,CONTROL,Collectibles,01: 0-10,C2C BOLT,7.075894,1
63564682,TREATMENT,Fashion,03: 20-30,Magi Native,26.954000,1
21191166,TREATMENT,Lifestyle,02: 10-20,Native B2C BOLT,11.671082,1
100468227,TREATMENT,Parts & Accessories,03: 20-30,Magi Native,50.579181,2
2814827339,TREATMENT,Home & Garden,03: 20-30,Helix,406.399088,15
1655749802,TREATMENT,Fashion,01: 0-10,Shelby,8.355740,1
2183060114,TREATMENT,Fashion,01: 0-10,Magi Native,9.353038,1
107462647,CONTROL,Fashion,04: 30-40,Others,33.692500,1
455232800,CONTROL,Electronics,06: 50-100,Shelby,75.983326,1
2649829426,TREATMENT,Fashion,03: 20-30,Shelby,24.797680,1
1099782078,TREATMENT,Collectibles,03: 20-30,Helix,103.476406,4
436133988,CONTROL,Electronics,01: 0-10,Shelby,20.417655,3
423123243,CONTROL,Collectibles,03: 20-30,Shelby,77.155825,3
1249852972,CONTROL,Electronics,06: 50-100,Magi Native,65.093910,1
2733402591,TREATMENT,Electronics,01: 0-10,Magi Native,17.439238,2
1808942443,TREATMENT,Electronics,01: 0-10,Native B2C BOLT,14.528206,2
85158993,TREATMENT,Electronics,02: 10-20,Auto Relist,19.932483,1
64019140,TREATMENT,Collectibles,02: 10-20,Helix,120.928369,8
2703946897,TREATMENT,Parts & Accessories,07: 100-500,Shelby,188.893632,1
1501032126,TREATMENT,Fashion,02: 10-20,Magi Native,63.854026,4
1094640474,CONTROL,Business & Industrial,04: 30-40,Helix,30.902761,1
1050532973,TREATMENT,Collectibles,03: 20-30,Shelby,152.492255,6
149041841,CONTROL,Electronics,06: 50-100,Helix,452.517071,7
2512058762,TREATMENT,Media,02: 10-20,Shelby,35.013246,3
77200047,CONTROL,Media,01: 0-10,Shelby,18.989093,3
984892507,CONTROL,Lifestyle,03: 20-30,Helix,44.094572,2
1806627309,TREATMENT,Electronics,07: 100-500,Others,114.082805,1
191099071,CONTROL,Fashion,05: 40-50,Shelby,47.479471,1
53143802,CONTROL,Electronics,02: 10-20,Helix,14.676453,1
1193602879,CONTROL,Fashion,03: 20-30,Helix,24.285554,1
1030272037,CONTROL,Lifestyle,07: 100-500,Magi Native,451.452546,1
1154306645,CONTROL,Business & Industrial,04: 30-40,Magi Native,35.013246,1
2395945457,TREATMENT,Home & Garden,04: 30-40,Shelby,99.918478,3
2621380890,CONTROL,Fashion,05: 40-50,Shelby,40.552293,1
2261383855,CONTROL,Collectibles,06: 50-100,Helix,57.546790,1
2576935192,TREATMENT,Business & Industrial,02: 10-20,Magi Native,18.032226,1
1014705027,TREATMENT,Home & Garden,02: 10-20,Magi Native,76.657176,6
611609248,TREATMENT,Media,04: 30-40,Helix,35.983590,1
134889869,CONTROL,Home & Garden,06: 50-100,Shelby,51.212600,1
36730780,TREATMENT,Fashion,05: 40-50,Helix,44.986226,1
2142162073,TREATMENT,Collectibles,02: 10-20,Magi Native,39.069823,3
286983602,TREATMENT,Fashion,02: 10-20,Helix,177.977262,11
1983817415,TREATMENT,Collectibles,04: 30-40,Magi Native,70.862066,2
1941759951,CONTROL,Collectibles,07: 100-500,Magi Native,187.761564,1
172138011,TREATMENT,Media,01: 0-10,BLING,9.123929,1
